2022-02-10 17:45:37.786: Dataset name: dataset
The number of users: 5907
The number of items: 5907
The number of ratings: 20336
Average actions of users: 3.44
Average actions of items: 3.44
The sparsity of the dataset: 99.941718%
2022-02-10 17:45:37.787: 

NeuRec hyperparameters:
recommender=WRMF
config_dir=./conf
gpu_id=0
gpu_mem=0.5
data.input.path=C:\Users\HyunsikYoo\Desktop\DIVINE/_Data/p2p-Gnutella08/GNU_train
data.test.input.path=C:\Users\HyunsikYoo\Desktop\DIVINE/_Data/p2p-Gnutella08/GNU_test
data.input.dataset=dataset
data.output.path=C:\Users\HyunsikYoo\Desktop\DIVINE/_Data/p2p-Gnutella08/GNU_train.wrmf_local.emb
data.column.format=UI
data.convert.separator='\t'
user_min=0
item_min=0
splitter=given
ratio=0.8
by_time=False
metric=["Precision", "Recall", "NDCG", "MAP", "MRR"]
topk=[10, 20]
group_view=None
rec.evaluate.neg=0
test_batch_size=128
num_thread=8
data.index.remap=False

WRMF's hyperparameters:
epochs=50
embedding_size=16
reg_mf=0.1
alpha=10
init_method=uniform
stddev=0.01
verbose=1
weight=uniform

2022-02-10 17:47:09.202: metrics:	Precision@10	Precision@20	Recall@10   	Recall@20   	NDCG@10     	NDCG@20     	MAP@10      	MAP@20      	MRR@10      	MRR@20      
2022-02-10 17:47:13.410: epoch 1:	0.00808412  	0.00696263  	0.04322430  	0.07445484  	0.02511257  	0.03446786  	0.01461068  	0.01725509  	0.02633121  	0.02918909  
2022-02-10 17:47:17.372: epoch 2:	0.01107479  	0.01014019  	0.05934579  	0.10677570  	0.03603867  	0.05049970  	0.02219599  	0.02660125  	0.03868956  	0.04262453  
2022-02-10 17:47:21.276: epoch 3:	0.01299068  	0.01147196  	0.06869159  	0.12149533  	0.04033967  	0.05616157  	0.02444538  	0.02936924  	0.04087561  	0.04474208  
2022-02-10 17:47:25.263: epoch 4:	0.01373835  	0.01214952  	0.07266355  	0.12873831  	0.04301066  	0.05984556  	0.02622144  	0.03153868  	0.04417112  	0.04819700  
2022-02-10 17:47:29.340: epoch 5:	0.01411218  	0.01226635  	0.07476635  	0.12990654  	0.04418070  	0.06072715  	0.02702696  	0.03226055  	0.04524255  	0.04914236  
2022-02-10 17:47:33.381: epoch 6:	0.01429910  	0.01240653  	0.07570093  	0.13130841  	0.04496688  	0.06161511  	0.02752828  	0.03279011  	0.04652520  	0.05038362  
2022-02-10 17:47:37.343: epoch 7:	0.01425237  	0.01259345  	0.07523365  	0.13317756  	0.04527640  	0.06263987  	0.02799844  	0.03351217  	0.04710355  	0.05113211  
2022-02-10 17:47:41.319: epoch 8:	0.01485985  	0.01261681  	0.07827103  	0.13341121  	0.04651515  	0.06293048  	0.02853916  	0.03369984  	0.04769620  	0.05144562  
2022-02-10 17:47:45.287: epoch 9:	0.01500004  	0.01266354  	0.07873832  	0.13380063  	0.04698319  	0.06338702  	0.02884670  	0.03401114  	0.04839175  	0.05216796  
2022-02-10 17:47:49.341: epoch 10:	0.01518695  	0.01266354  	0.07990655  	0.13380063  	0.04742600  	0.06354319  	0.02907543  	0.03415263  	0.04855697  	0.05233958  
2022-02-10 17:47:53.345: epoch 11:	0.01514022  	0.01266354  	0.07967290  	0.13403428  	0.04733277  	0.06359030  	0.02903279  	0.03412285  	0.04844832  	0.05235759  
2022-02-10 17:47:57.349: epoch 12:	0.01518695  	0.01271026  	0.08037383  	0.13450156  	0.04762863  	0.06386268  	0.02918447  	0.03427083  	0.04874408  	0.05265263  
2022-02-10 17:48:01.472: epoch 13:	0.01504677  	0.01285045  	0.07943925  	0.13613708  	0.04743414  	0.06442817  	0.02923603  	0.03454585  	0.04871125  	0.05286533  
2022-02-10 17:48:05.451: epoch 14:	0.01495331  	0.01287381  	0.07897196  	0.13660437  	0.04744123  	0.06474324  	0.02939624  	0.03478283  	0.04897437  	0.05332009  
